Yorum,Duygu
Uzun süredir aradığım köfte lezzetiydi ellerinize sağlık.,Olumlu
Yemek 1. 5 saat sonra geldi.. Ayranları getirmemisler ama parasini almislar... Koftenin lezzeti de eh işte..,Olumsuz
Köfte ve tavuk şiş çok güzeldi ellerinize sağlık kurye çok hızlıydı teşekkürler.,Olumlu
Bu köfteler muhteşem lezzetli uzun zamandır böyle lezzetli köfte yememiştim mutlaka denenmesi gereken bir tat teşekkürler köftecibo.,Olumlu
Gerçekten fevkalade bi hizmet ürün lezzetli servis hızlı gelen ürün sıcaklığını kaybetmemiş yemeksepetine de ürünün geldigi firmaya köfteci ibo ya da çok teşekkür ediyorum iyicalismalar diliyorum.,Olumlu
Yemekler sıcak ve gayet lezzetliydi. Kuryenin hızına diyecek yok. Gelen en hızlı siparişimdi. Gönül rahatlığıyla sipariş verin. Ben çok memnun kaldım eminim siz de kalacaksınız.,Olumlu
"Türkiyede yediğim en güzel ve lezzetli yemek, hızlı ve güvenilir.. Sizde deneyin..",Olumlu
Yemekleri çok lezzetliydi siparişim hemen de geldi çok hızlıherkese tavsiye ederim.,Olumlu
Hızlı servis kaliteli ve lezzetli ürünler.. Herkese tavsiye ederim.,Olumlu
"Güleryüzlü elemanlar, hızlı servis hizmeti ve lezzetli yemekleriyle güvenerek tercih ettiğim bir restoran. Teşekkürler köftecibo! :).",Olumlu
Sıcacık ve lezzetli köfteler.,Olumlu
Lezzti mükemmel. Servis ve hızından şüphe yok tavsiye ederim.,Olumlu
Ellerinize sağlık.,Olumlu
Mükemmeldi her şey.,Olumlu
Berbat beyaz çikolatalı istedim sütlü çikolatayla yapılmış geri de iade etmedim param çöp oldu.,Olumsuz
Hızlı ve sıcaktı. İlginiz için ve müşteriye verdiğiniz değer için teşekkür ederiz.,Olumlu
Tuzlu sandviç çok güzeldi ellerinize sağlık devamlı sipariş vereceğim artık.,Olumlu
Herşey çok güzeldi elinize saglık teşekkür ederiz.,Olumlu
Waffle mükemmeldi ellerinize sağlık.,Olumlu
Yediğim en kötü waffleydi çikolatası yanmıştı bir lokma bile yiyemedik yazık oldu ama servis 10 numara hızlıydı emek.,Notr
Harika idi.,Olumlu
Tost demeye bin şahit lazım gerçekten özensiz paket ve 20 yani insan bari göz doyurmak için yanında söğüş patates vs yollar resmen bakkaldan alınmış ekmek arası gibi.,Olumsuz
Keşke ayıp olmasın diye sucuk koysaydınız bir ikitane tek vardı onlarda incecik.,Olumlu
Börek de çok kötüydü ballı kaymaklı sandviç de.,Olumsuz
Güzeldi.,Olumlu
Fena değil sigara böreği denenebilir.,Notr
Waffle güzeldi. Wafflein kutusu güzeldi. Sadece nutella değil de çikolata sosu eklerseniz ve waffle malzemelerini cesitlendirirseniz çok daha güzel olur. Hayırlı işler dilerim.,Olumlu
Harika yemekler çok güzel tavsiye ederim...,Olumlu
Karisik tostun icinde kasarla sucuga rastlamak pek mumkun olmadi.,Olumsuz
"Kumruyu kumru ekmeğinde yapsanız daha iyi olur, hayırlı işler.",Olumlu
Tatlı soğuk sandvich söyledim içinde sadece bal kaymak vardı belirtilen diger şeyler yoktu.,Olumlu
Siparişi getiren kurye dışında fena değildi.,Notr
Sorunsuz ve gayet güzel.,Olumlu
İyi.,Olumlu
Gerçekten hakkını vermiş...,Olumlu
Lezzet hız servis herşey berbat herşey yağ içinde ve tat yok kesinlikle tercih edilmemesi gereken bir yer.,Olumsuz
Beğendim tavsiye ederim.,Olumlu
Kaşarsız kumru mu olur?,Olumsuz
Servis. Hız ve lezzet süper. Kuryenin ve ustanın eline sağlık.,Olumlu
"Dün ızgara köfte ve mag söylemiştim. Bugün de şnitzel söyledim, hepsinden memnun kaldım. Tavsiye ediyorum.",Olumlu
Porsiyon yemeği elle mi yiyelim. Çatal bıçak gönderilmemiş onu geçtim bari ıslak mendil yollasaydınız.,Olumsuz
Dürüm iyi sarılmamış.,Notr
Mükemmel gayet şık bir menü ve hız.,Olumlu
Menu gayet dolu dolu ve zamaninda geldi. İs cikisi saatinden olsa gerek hizli pisirilmis bu yuzden icleri biraz daha pisebilirdi.,Olumlu
"Sahane, elinize saglik.",Olumlu
Servis geç geldi. Diğer yönler iyiydi teşekkürler servis süresine dikkat.,Olumlu
Çok iyi deil ama yenilir yani.,Olumlu
Aşırı kötüydü tercih etmem kimseye.,Olumsuz
Tam olarak yemek krizlerinin tek çözüm adresi.,Olumlu
"O kadar sıcak geldi ki yemek için soğumasını bekledim! Ellerinize sağlık, her zaman çok lezzetli.",Olumlu
Biraz gec geldi ve ciğer baya tuzsuzdu. Fakat ezme muthisti hic sulanmamis ve lezzetliydi.,Olumlu
35 dakika içerisinde siparişim geldi yanında acılı ezme ve karışık turşu ikram etmişlerdi biberler biraz az geldi 1 kg köfte siparişin de 4 tane vardı domates pişmiş soğan da harikaydı kurye kibardı bir firmada olması gereken herşey vardı teşekkür ederiz.,Olumlu
"Herşey çok lezzetliydi, özellikle garnitür olarak közlenmiş soğana bayıldım.",Olumlu
"Tahmini 35-45 görünüyor sırapişim 1, 5 saat içinde geldi. Hıza bu yüzden 1 puan verdim. Kaşarlı mantar söylemiştim, onu da kebabın içine ayrıca paketlemeden komuşlar servise bu yüzden 1 puan verdim.",Olumsuz
Hız lezzet iyiydi ama köfte içerisinde ufak ufak kemik parçaları vardı.,Notr
Kanat bi tık daha fazla pişebilirdi onun dışında güzel tavsiye ederim.,Olumlu
Etin lezzeti çok güzeldi. Ancak 5 dürüm söyledim çok az yan ürün geldi. Yan malzemeyi bol tutarsanız bi daha ki sefere güzel olur.,Olumlu
"Hayatımda yediğim en berbat lahmacundu.. İçinde kıyma var mı yok mu belli değil, hamuru incecik tadı tuzu yok hiçbir şekilde tavsiye etmiyorum.. Mecbur 1 puan verdim 0 olmadığı için.",Olumsuz
Kuzu lokumu mutlaka tavsiye ederim çok iyiydi ellerine sağlık ustacım :).,Olumlu
Elinize sağlık.,Olumlu
Teşekkür etmek istiyorum. Lahmacunum bir kaç siparişte soğuk geldi diye hem lahmacunları tekrar gönderdiler hemde 2 künefe gönderdiler. Çok lezzetliydi. Her zaman sipariş vermekten mutlu olacağım.,Olumlu
Hayatımda yediğim en iyi kuzu kaburgalardan birisiydi kanat biraz daha pişebilirdi çok memnun kaldık teşekkür ederim.,Olumlu
Açıkcası son 1 aydır yediğim en güzel köfteydi. Bundan sonra her hafta sonu görüşeceğiz öyle görünüyor teşekkürler marmaram ett.,Olumlu
Cok guzeldi. Bu isi biliyorsunuz.,Olumlu
Çok beğendik gerçekten tavuk pirzola tam kıvamında pişmişti kurye de gerçekten çok saygılı teşekkürler.,Olumlu
"1 kg biftek lokum aldim, etler suyunu salmis ve kuruydu. Ayrica kemikli vs oylece dogranmis ozensiz etlerden yapilmis. Pek lezzetli degil.",Olumlu
Kaşarlı köftesini mutlaka öneririm gerçekten çok lezzetliydi ellerinize sağlık.,Olumlu
Mukemmel lezzet cok tesekkurler.,Olumlu
"Sıcak, bol yeşillikliydi. İc harcının tuz oranı biraz fazlaydı. Elinize sağlık.",Olumlu
Şimdi ne desem bilemedim tatlının bayat gelmesinden mi içinden çıkan cismemi haber verdikten sonra restoranın özür dilemek yerine üste çıkmaya çalışması mi yani yakistiramadim birdaha sipariş kesinlikle vermem benim solicegim bu kadar siz karar verin.,Olumsuz
Ekmek kadayıfı gercekten cok nefistı cok begendık.,Olumlu
Elinize saglik.,Olumlu
Ekmek kadayıfı muhteşemdi 10 ustu 10.,Olumlu
Fistikli midye baklavanin icerisinde fistik ceviz ile karistirilmisti. Parca parca cevizler gozukmekteydi. Fistik tadi 0. Serbet tadindan baska birsey gelmiyor. İlk ve son siparisim.,Olumsuz
Güzeldi.,Olumlu
1 saatte kaç günlük olduğunu bilmediğim bir baklava geldi ciddi anlamda bayat böyle firmalara fırsat verilmemesi gerek insanların parasını çöpe attırıyorsunuz.,Olumsuz
Sütlü nuriyeyi çok beğendik.,Olumlu
Hersey cok iyidi tesekkurler bol kazançlar.,Olumlu
Güzel.,Olumlu
Halka tatlısı bayattı eğer bayatlamışsa seçeneklerden kaldırın gitsin insanlara o şekilde ürün satılır mı.,Olumsuz
5. Siparişim gayet güzel ve lezetli elinize sağlık.,Olumlu
Gerçekten lezzetsizzz bayat ve içindekiler ceviz değil... Tozu... (hız iyi ama beklediğimize değmicekse herşey hız değil).,Olumlu
Lezzet ve kurye iyiydi. Sadece yola çıktı görünen sipariş 30 dk anca geldi. Teşekkürler.,Olumlu
Çok hızlı geldi ve servisi iyiydi. Baklava normaldi. Ürünü getiren kurye çok kibardi.,Olumlu
Cok lezzetli ve özenlıydı tesekkurler.,Olumlu
Kötü.,Olumsuz
Lezzetli ve güzel.,Olumlu
"Bezelye, berbat.",Olumsuz
Güzeldi.,Olumlu
Lezzetli ve güzeldi fıstıga doyduk vallaha.,Olumlu
Fıstıklı baklavası berbat verilen paraya yazık bayat baklava göndermişler birde.,Olumsuz
"Güzeldi, lezzetliydi, beğendim. Teşekkür ederim.",Olumlu
"Kibar, hızlı ve lezzetli.",Olumlu
Guzeldi.,Olumlu
Cok guzeldi ayrıca kolonya ve maskede vardı hassasiyetiniz için de ayrıca teşekkür ederim 10 ustu 10.,Olumlu
Başarılı.,Olumlu
Tşk.,Olumlu
Gayet güzel.,Olumlu
Çok harika güzel tavsiye ederim.,Olumlu
"Hıç, lezzet her şey muhteşem.",Olumlu
"Ciğerli pilavdaki ciğer tavuk ciğeri geliyor, sipariş edeceklerin bilgisine. Ve tadı da kokusu da çok kötüydü. Tavuklu pilavından şaşmayın.",Olumlu
Bi deniyelim dedik artık sizdeyiz.,Olumlu
Herşey için teşekkür ederim onur beycim ikramınız içinde teşekkür ederim ederim ayrıca kocis bey.,Olumlu
Siz 1 numarasınız.,Olumlu
Teşekkür ederizzzz.,Olumlu
Cok hizli teslim edildi. Paketleme ve yemeğin sıcaklığı cok iyiyydi yine. Cok teşekkür ederim.,Olumlu
Çatal kaşık yoktu. Bir de onu bekledik. Ürün iyice soğudu. Teşekkürler.,Notr
Kurye arkadas cok efendiydi.,Olumlu
Yorumlara dikkat etmenize sevindim. Tesekkurler. :).,Olumlu
Güzeldi.,Olumlu
Gayet hızlı lezzetli.,Olumlu
Ellerinize saglik.,Olumlu
Tavuklu pilav efsanesini devam ettirmeniz sevindirici teşekkür eederim.,Olumlu
"Firsttr y, small price big delicious thanks guys.",Olumlu
Pilav tam kıvamında yağı normal ve hızlı geldi.,Olumlu
Yine yanıltmadınız.,Olumlu
Süperdi.,Olumlu
Biraz daha hızlanmanız gerekiyor ayrıca ketçap ve karabiber paket olarak gelmesi daha uygun olur mayonez ve pul biber istememe rağmen gelmedi zaten dalgınlık olabilir umarım bir sonraki siparişim daha özenli olur görüşmek üzere.,Olumlu
"Lezzet super, hava şartlarından biraz geç geldi ama hiç sorun değil.",Olumlu
"Hem nohutlu hem cigerleri pilav cok iyiydi, tesekkurler emeginize.",Olumlu
Pilav biraz soğuktu ama güzeldi.,Olumlu
Porsiyonu büyütürseniz daha iyi olur.,Olumlu
"Karin icinden nasil ciktin geldin be dostum, elinize saglik cok sicakti.",Olumlu
İşte bu.,Olumlu
"Wala süperdi ustam, tane tane olmasi cezbetti beni elinize saglik.",Olumlu
Teşekkürler.,Olumlu
Yan ürünlerin porsiyonları daha büyük olabilir. Gelişime açık sevdiğimiz bir yer.,Olumlu
"Sipariş verdikten 10 dk sonra zil çaldı, kuryeniz çok fırlama teşekkürler kurye bey işini yapıyorsun...",Olumlu
"Karışık kızartma siparişi verdik, porsiyonları çok çok az, kabak hiç pişmemiş, patates bir tane bile yoktu. Ekstra köri soslu tavuk söylemiştik çorba kıvamında garip bir şekilde geldi.",Olumsuz
Söylendiği gibi ve göründüğü gibi deyil malesef ya bi yiyin önce sonra satış yapın.,Olumsuz
"Sıcak ve güzeldi yerşey olması gerektiği gibi elinize sağlık bu arada kuryeniz çok efendi bir insan, ayaklarına sağlık dostum :).",Olumlu
Yemekleriniz gerçekten guzel servis sunum harika basarılarınızın devamı buşekilde olsun hep.,Olumlu
Teşekkür ederim.,Olumlu
Yeni taşındık bu tarafa. İlk siparişimdi. Porsiyonların epey ufak ve az olması dışında her şey süperdi.,Olumlu
Parasi tam alinan siparis eksik geldi.,Notr
Teşekkür ederim.,Olumlu
Yemekler güzeldi ayrica kuryede baya hızliydi hersey icin teşsekkür ederim.,Olumlu
Herşey için teşekkür ederim servis efsaneydi.,Olumlu
Teşekkür ederim.,Olumlu
Paket ekmekler harika olmuş. Yine aşırı memnun kaldım. Elleriniz dert görmesin. Bol kazançlar dilerim.,Olumlu
Güzel harika teşekürler.,Olumlu
Müşteriyi bulunca neden fiyatlar hemen arttı? Ne güzel takılıyoduk. Ayıp ettiniz.,Notr
Gerçekten çok memnun kaldım. Mükemmeldi. Tek bir önerim olacak ekmeği ayrı poşete koyup yollarsanız daha iyi olur. Elinize sağlık!,Olumlu
Et sote harıkaydı hızlı geldı pılav cok pısmıstı daha az pısırsenız tanr tane olur tesekkurler.,Olumlu
Menuleri yok ve tavuk sote guzel degildi.,Notr
Baya lezzetliydi yemekler.,Olumlu
Bizzat gelip yemek yediğim bir yerdi burası yemek sepetinde sizi görmek ne hoş lezzetler hl iyi lütfen cizginizi bozmayın iyi çalışmalar.,Olumlu
"Enfes lezzetliydi, çok teşekkürler, yapan ve getiren herkesin ellerine sağlık.",Olumlu
Yemekler lezetliydi ve sıcaktı hayatımda yediğim en güzel sade makarnaydı elinize sağlık.,Olumlu
Güzeldi.,Olumlu
İt was so delicious.,Olumlu
Gayet güzel ve işini hakkıyla yapan teşekkürler.,Olumlu
Hem lezzetli hem ekonomik tebrikler hayırlı işler.,Olumlu
Çok yağlı.,Olumsuz
Ürünler taze kalitesi teşekkürler.,Olumlu
Hazırlanması gerekmeyen paket ürünü 75 dk da getirmezsin tavsiye etmiyorum paranızla rezil olmayın vaktinize yazık.,Olumsuz
Harikasınız...,Olumlu
Mercimek çorbası diye su geldi corba tadı bile yoktu kim gonderiyorsa çorba diye suyu hakkımızı helal etmiyoruz.,Olumlu
Şahanesiniz...,Olumlu
Kaşarlı patatesli gözleme siparişim pastırmalı olarak geldi ve inanılmaz geç tarafıma ulaştı bu detayları dikkat etmenizi tavsiye ederim.,Olumsuz
Muhteşem kalitede kahvaltı ürünleri ellerinize sağlık.,Olumlu
Kahvaltı tabagı söyledim haslanmıs yumurta peynır ve salamların oldugu yerdeydı ne kadar yıkansada yumurta ayrı bı kısıma koymanız daha hıjyenık olur. 2 camşişe su sipariş etmeme ragmen 2 pet şişe su gelmiş bılseydım direk pet şişeyi tercih ederdım servısınıze bu yuzden puanlardn kırdm sip. Gecgeldi.,Notr
1 buçuk saatte geldi sipariş inanılmaz yavaştı.,Notr
Domates değil salça çorbası geldi.,Olumsuz
Susamlı tavuğu zar zor yedim. Susam içine boca edilmiş ve hiç işlemden geçmemiş çiğ susamdı yarım kilo susamı kavurmak herhalde 10 dk falan sürer. Mantarlarda iyi pişmemişti.,Olumlu
Büyük porsiyon ve lezzetliydi. Salata tazeydi.,Olumlu
Tavuk suyu çorba ve pilav çok lezzetliydi karnıyrık bir öncekine göre zayıfyı ams yine de başarılıydı.,Olumlu
Sıcak geldi ve gayet hızlı teslim edildi. Lezzeti de fena değildi beğendim baya.,Olumlu
Neredeyse evde yapılmış kadar sıcak geldi. Getiren kurye arkadaş da çok kibardı. Hız sorununuzu çözerseniz 10/10. Elinize sağlık.,Olumlu
Zamanlama belirtildiği süre içinde geldi lakin me çatal kaşık bıçak peçete tuz vs vs bomboş paket resmen ilk kez sipariş verdim ama rezalet acikcasi.,Olumsuz
Sipariş 55 dk da geldi iptal edemedik aynı bölge adresi yanlış servıscının sucu değil fırma adresı yanlış bidaha sıparış vermem heralde!,Olumsuz
2 saat sonra geldi.,Olumlu
Harikaydı.,Olumlu
Harikaydı.,Olumlu
Kötü.,Olumsuz
"Pişilerin boyutu çok küçüktü, numunelik gibi görünüyorlar. Diğer restoranlarda biraz daha pahalı ancak makul ölçülerde yapılıyor. Siz de böyle bir yol izlerseniz güven kaybı yaşamazsınız diye düşünüyorum.",Notr
Yemekler çok güzeldi porsiyonlar bol fazla bile geldi.,Olumlu
45 dklık sürenin tamamını ekmekle sıyırırcasına dakiklikte getirdiler ne eksik ne fazla. 45 dk uzun süredir arkadaşlar gerek yok. Çokta lezzetli değildi zaten değmez.,Olumsuz
Çok lezzetliydi gözleme. Ellerinize sağlık.,Olumlu
Mükemmel.,Olumlu
Malzeme yok dogru düzgün.,Olumsuz
Gayet başarılı buldum sağolun.,Olumlu
3 tantuni sipairs verdim 2 tane geldi 3 tanesinin parası alındı ayıp.,Notr
Tantuninin yanına limon koymamışlar.,Notr
Herzamanki tat ve lezzet.,Olumlu
Çok hızlıdır.,Olumlu
Dürüm istedik hepsi ekmek gelmişti. Lütfen siparişleri daha dikkatli okuyun.,Olumlu
Bu kadar özensiz yavaş yemek gönderilmez dürümü 2 tane yedim yinede dişim arasını doldurmadı.,Olumsuz
Sacma sapan bir ürün resmi sacma sapan gelen ürün çift lavas yazıyor incecik bir ürün geliyor eger insan sana ihtiyac duyup siparis veriyorsa acıkmıstır insanlaeın aklıyla oynamayın.,Olumsuz
Soğuk ve lezzetsiz.,Olumsuz
Geç geldi biraz ama sıcak ve lezzeti herzamanki gibiydi.,Olumlu
"1 saat 10 dakikada sipariş tarafımıza ulaştı, paketleme de sıkıntılıydı, ancak haklarını yemeyelim ürün sıcaktı. Hız problemini düzeltebilirseler iyi olur.",Notr
Gayet lezzetliydi.,Olumlu
Çok geç geldi ama lezzet fena değildi.,Olumlu
Çok kötü.,Olumsuz
Herzamanki gibi super.,Olumlu
Evimin hemen asagısındaki dükkandan tam 1 saatte geldi. Yemek sepetinde 12. 50 tlye aldıgım dürüm gel al serviste 18 tl nasıl oluyor anlamış değilim. Asla değmez.,Olumsuz
Et tantuni biraz kötüydü.,Olumlu
Çift lavaş olmasına rağmen doyurmuyor. Ekmek arası daha doyurucu olabilir.,Olumlu
Durum kucuktu biraz.,Olumlu
"Çift lavas yazdıklarına bakmayın kürdan dürüm gönderiyorlar, diş arasını bile doldurmuyor hayal kırıklıgına uğradım bidaha asla sipariş vermem.",Olumsuz
Ne lezzet güzel ne servis hızı 1 saatte buz gibi geldi yediğim en kötü tantuni asla sipariş vermem tekrar.,Olumsuz
Porsiyon küçüktü.,Olumlu
"Başta siparişim yanlış geldi ama arayıp durumu bildirdiğimde hemen değiştirdiler:) asla puan kırmam, tekrar teşekkürler tadı enfesti.",Olumlu
"Porsiyonları inanılmaz derecede ufak geldi, doyamadık.",Olumsuz
Sürekli sipariş verdiğim yer tantunisi çok güzeldir ama bugün yaşadığım olay beni üzdü. Tantuni ve tatlı siparişi verdim hızlı ve gayet sıcak geldi gayet güzeldi fakat tatlının tarihi 3 gün geçmişti dikkat edilmesini rica ederim.,Olumlu
Lezzetli.,Olumlu
Mükemmeldi tantuni.,Olumlu
Normalde hic bir işletmeyi kötülemek istemem ama daha önceden hiç böyle bir şey görmedim. Resimde görüldüğü gibi içinde ne olduğu belli olmayan tahminimce kullanılmayan kıkırdakları doldurmuşlar sadece suyunu içebildim.,Notr
İyi.,Olumlu
Güzel.,Olumlu
Güzeldi.,Olumlu
Güzeldi.,Olumlu
İyidi.,Olumlu
Sonunda güzel lahmacun yiyebildik.,Olumlu
"Soğuk, tadı kötü lahmacunun ve çok uzun sürüyor her zaman.",Notr
Güzel değil.,Notr
Bu aralar lahmacun çok soğuk oluyor ve tadı güzel değil.,Notr
Çok lezzetli hayatımda yediğim en güzel lahmacundu.,Olumlu
Çok lezzetliydi.,Olumlu
Mükemmel.,Olumlu
İyidi.,Olumlu
Lahmacun çok lezzetliydi.,Olumlu
1 saatte geldi yediğim en kötü lahmacundu.,Olumsuz
Çok güzeldi.,Olumlu
Güzeldi.,Olumlu
Elinize sağlık çok güzel di.,Olumlu
Kurye candır bol soğan istedik herşeyden kısmış soğan yollamamış.,Olumlu
Teşekkür ederim sıcacık geldi yanlız biraz kırmızı biberi içinde fazla boğuyor az olsa çok daha lezzetli olurdu.,Notr
Karışık ızgara siparişi verdik menüde yazan tavuk şiş ve çöpşiş yoktu. Adana lezzeti çok güzeldi. 45 dakika bekledik.,Notr
Bu seferki sipariş müthiş hızlı bir şekilde geldi lezzetli ve tatminkar bir akşam yemeği oldu kolay gelsin.,Olumlu
Yaklaşık 1 saat 30 dakikada geldi paketleme rezalet kurye kibar lezzet fena değil ama bu paketleme servis ve hız ile fazla uzun ömürlü olmaz malesef.,Notr
Hız : 1 saat 20 dkservis : kelle paça çorbası ve yemekler aynı posette idi ve kelle paça karton kutu kırıldığı için yemekler su içinde kalmıstı. Sipariş eksikti. Yemek sepeti eksik ürünün ücreti şube yoğun olduğu için getiremeyeceğinden iade etti. Lezzet: kelle sulu dürüm yedik tad anlamadık.,Olumsuz
Miktar çok az... Fiyatı uygun değil... Bulgur ve salata sipariş etmedim sadece kebap sipariş ettim?,Olumsuz
Süper.,Olumlu
Eksik menü geldi adana kanat tavuk şiş şiş ve turşu yerine gelen adana ve bagetti yazıklar olsun.,Olumsuz
Muhteşem.,Olumlu
Bravo.,Olumlu
Listede 50 cl ayran var ama gelen 30 cl ayran. Bu arada gelen yiyecekler maalesef soğuktu. Sıcak gelmiş olsa belki lezzeti daha iyi olabilirdi.,Notr
Lahmacun soguk geldi bir tad alamadımve geç geldi.,Olumsuz
"Etin lezzeti gayet güzeldı, ama servis çok kötü, 1, kg kanat siparıs verdım eksık geldı, 1, litre kola soyledım 330 ml kola geldı çatal, pecete falan yoktu mezeler, hiç, güzel degıldı tavsıye etmıyorum.",Notr
Ekmeği salatası her şeyi güzel ama biraz pahalı. Bir de kebap bulgursuz olmaz abi elinize saglik.,Olumlu
"Sipariş 45 dakikada geldi, yemekler soğuktu bu yüzden lezzet konusuna birşey diyemiyorum.",Notr
Elinize sağlık eksik gr dışında bi sıkıntı yok çok lezetliydi.,Olumlu
Gerçekten harika çok lezzetli.,Olumlu
Mükemmeldi ellerinize sağlık.,Olumlu
Çok güzel ve ürünler sıcak geldi.,Olumlu
Ürünelr soğuk geldi ama restorant tarafından makul şekilde düzeltildi teşekkürmer.,Olumlu
Soğuk geldi ama iyiydi kuryeye teşekkürler.,Notr
Ellerinize sağlık hep böyle olsun lütfen bozmayın.,Olumlu
Gayet lezzetli umarım hep böyle olur teşekürler.,Olumlu
Pandemi bitsiz oraya gelmeyi sabırsızlıkla bekliyorum.,Olumlu
Hersey çok güzeldibu kaliteyi bozmayın lütfen.,Olumlu
Elinize sağlık herşey çok güzel ürünler sıcacık geldi kuryenin eldiveni de maskesi de vardı aldığınız para sin kuruşuna kadar hell hoş olsun hayırlı işler.,Olumlu
Ciger dürüm geçen günkü gibi efsaneydiellerinize sağlık.,Olumlu
Tam ıkı saatte geldı hersey dökülmüs sekılde buz gıbı.,Olumsuz
Bu olumsuz havada herşey çok güzeldi teşekkür ederim.,Olumlu
Bu soğuk günde ürünler sıcacık geldi kurye arkadasa cok tesekkur ederiz.,Olumlu
Yemek sıcacık geldi 6 cesit ikram salatala bizi cok şaşırttı.. Başka yerde salata başı 8-10 tl yansıtıliyor kuryenin eldiveni de maskesi de vardı aldığınız para sin kuruşuna kadar hell hoş olsun diye..,Olumlu
Her şey için çok teşekkür ederiz lezzeti çok güzel ve ikramımız içinde çok teşekkür ederiz hayırlı işler.,Olumlu
Herşey çok güzel ikraminiz için çok teşekkurederiz ürünleri sıcaklığı lezeti bambaşkaydı elinize sağlık.,Olumlu
"Dürüm sıcacık geldi, kurye arkadaş oldukça kibar esenyurt bölgesi için bu kalite şaşırttı bizi.",Olumlu
Herşey çok güzeldi ufak ikramımız için çok teşekkür ederim.,Olumlu
Güzeldi...,Olumlu
Kötü yemek.,Olumsuz
Lahmacunlari berbat.,Olumsuz
Yalnızca kaşarı biraz azdı onun dışında çok lezzetliydi.,Olumlu
Berbat paketleme zayif etler pişmemiş etli ekmekler pidenin ustunden hep düşmüş rezillik ilk ve son siparişimdi daha verilmez.,Olumsuz
Hızlı geldi ama etin yağından sanırım çok ağır bir koku vardı yanında gönderdikleri salatamsı şey komple ölmüştü.,Olumlu
"1 saati geçmesine rağmen lahmacunlar neredeyse pişmemiş haldeydi. Ve çok fazla un vardı. Biraz özen gösterilmesi lazım! İkram adı altında garnitür gelmesi büyük sürpriz oldu. He bi de 1lt kola vardı, o da gecikmeden kaynaklı olsa gerek bilemedim. İlk kez kötü puanlama yaptım ama üzgünüm.",Notr
Buz gibi.,Olumlu
Her zamanki gibi harikaydı.,Olumlu
Soğuk geldi ve lezzeti hoş değildi.,Olumsuz
Yanlıs siparis geldi tel numaraları da yok intenette mevkana söyledik pide geldi hamur pişmemiş ve çiğdi. Paramız çöp oldu.,Olumlu
Lahmacun soyleyecekseniz kesinlikle söylemeyin.,Olumsuz
Hamuru iyi pişmemiş ve özensiz açılmıştı. Hamurun altına fırının karası bulaşmıştı. Beğenmedik.,Notr
Lahmacun çıtır çıtırdı çok beğendim.,Olumlu
Domates yedik sırf. Sözde satır işiydi.,Notr
Bütün kuryeler böyle olsa dünya barışı sağlanır.,Olumlu
Kavurmalı pidenize mest oldum ustanın eline sağlık muthişti kaşar ne eksik ne fazlaydı herşey güzeldi teşekkürler.,Olumlu
Kavurmalı pide gerçekten güzeldi. Bıçak arasında ise etler çiğ kalmış. Evi kolay bulan kurye arkadaşa teşekkürler.,Olumlu
Herşey için teşekkürler pideler harikaydı.,Olumlu
Hamuru tuzsuz (0 tuz) ve kıyma harcı lezzetsizdi. Hız ve kurye iyiydi hakkını yiyemem ama beğenmedim maalesef.,Notr
Yorumları okuyup sipariş verdim kavurmanız bugüne kadar yediğim en iyi kavurmaydı. Porsiyon büyük ve doyurucuydu. Garnitürün servis şeklini beğendim. Pideniz antibiyotik gibi geldi elinize sağlık umarım bu kaliteniz hiç düşmez. Teşekkürler.,Olumlu
Göstermiş oldukları ilgiye ve hizmete teşekür ederim.,Olumlu
Çorba inanılmaz tuzluydu içemedik pidenin hamuru çok inceydi ve etleri az koyulmuştu.,Olumlu
"Lezzetliydi, kurye arkadaş nazik ve başarılıydı, servis iyiydi, tskkrler.",Olumlu
Elinize sağlık herşey çok güzeldi.,Olumlu
"Lahmacun porsiyonu büyük ve lezzetliydi, hızlı ve sıcak geldi tek bir elestirim salata konusunda daha özenli bir çalışma yapılabilir onun dışında gayet memnun kaldım.",Olumlu
Kıymasına biraz salça ekleyebilirsiniz.,Olumlu
Lezzetliydi. Fakat yakında olmamıza rağmen biraz geç geldi. Ve özellikle belirtmek isityorum pidenin altında çok kömür tozu çıktı ocağa dikkat edelim. Resmini çekicektim fakat gerek yok lezzetiniz güzel olduğu gibi bazı şeyler de yerine oturur gibime geliyor. Elinize sağlık.,Olumlu
Hayatımda içtiğim en kotu çorba ve lahmacun. Bu son.,Notr
Yemekler lezzetli sayılabilir fakat 1saatten daha fazla sürdü gelmesi dolayısıyla buz gibiydi ve maalesef dökülmiştü çok kötü bir tecrübe yaşadım diyebilirim.,Olumsuz
İnanin o kadar gecikti ki pizanin tadindan bir sey anlamadim ama iyi pismisti.,Notr
Çok güzel pişmiş somon ve garnitür yedim tşkler.,Olumlu
"Yaklaşık bir saatte geldi. Yazarkasa fişi istemiştim, ama unutmuşlardı. Hamburger dağılmıştı. Yine de lezzetliydi.",Olumlu
"Kori soslu tavuk ve mantarli krep harikaydi. Yaninda gelen salata, pilav ve patatesler ile son derece doyurucuydu. Yemekler sicacik geldi.",Olumlu
Notum dikkate alınmadı.,Olumlu
Hanburger ve hiz basarili tebrikler.,Olumlu
Çok başarılı beğendik bşr daha sipariş vereceğim.,Olumlu
Başarılı.,Olumlu
Buz gibi geldi.,Olumsuz
